date,sum_valuation_profit,d2_deposit,total_possess_count
20220104,-17850,49003400,1
20220105,-34230,47010940,3
20220106,-55983,47010940,3
20220107,29059,45125700,5
20220110,-51753,45125700,5
20220111,-172872,45125700,5
20220112,-107211,42164900,8
20220113,-233900,41170850,9
20220114,-341279,40171060,10
20220117,-466470,40171060,10
20220118,-655361,37188200,13
20220119,-856738,33291700,17
20220120,-321904,28320370,22
20220121,-792932,28320370,22
20220124,-1452061,28320370,22
20220125,-2340163,28822557,21
20220126,-2209967,25857627,24
20220127,-3228177,23659782,26
20220128,-2400993,15846082,34
20220203,-1656861,14849282,35
20220204,-993335,10002172,40
20220207,-944014,9037372,41
20220208,-1107020,8076372,42
20220209,-305971,7076487,43
20220210,-1083532,7076487,43
20220211,-1775993,7076487,43
20220214,-2979942,8626674,41
20220215,-3584167,7657674,42
20220216,-1535141,2727770,47
20220217,-1621597,754280,49
20220218,-1058545,754280,49
20220221,-1066746,754280,49
20220222,-2278512,754280,49
20220223,-1328507,754280,49
20220224,-2810088,1549318,48
20220225,-1327780,550033,49
20220228,-913325,550033,49
20220302,390651,550033,49
20220303,1318458,550033,49
20220304,1434516,550033,49
20220307,419544,550033,49
20220308,-525172,338992,49
20220310,451032,338992,49
20220311,1245419,338992,49
20220314,91841,338992,49
20220315,-428006,338992,49
20220316,561188,338992,49
20220317,1816729,338992,49
20220318,2264986,338992,49
20220321,2324797,338992,49
20220322,2996031,338992,49
20220323,4128697,338992,49
20220324,4361861,338992,49
20220325,4505591,338992,49
20220328,4150770,338992,49
20220329,4132058,338992,49
20220330,4172137,338992,49
20220331,4580172,338992,49
20220401,4429398,338992,49
20220404,4507646,338992,49
20220405,4451222,338992,49
20220406,4168337,338992,49
20220407,3759056,338992,49
20220408,3577682,338992,49
20220411,3148095,338992,49
20220412,2917386,338992,49
20220413,3723511,45714,49
20220414,4055644,45714,49
20220415,4108711,45714,49
20220418,3778954,829135,48
20220419,4772721,829135,48
20220420,4942111,829135,48
20220421,4773902,829135,48
20220422,4562648,829135,48
20220425,3174309,829135,48
20220426,3523630,829135,48
20220427,2849423,829135,48
20220428,3163747,829135,48
20220429,3462913,829135,48
20220502,3400812,829135,48
20220503,3229042,829135,48
20220504,3006442,829135,48
20220506,2471671,829135,48
20220509,976015,1473609,47
20220510,382934,270337,48
20220511,203264,270337,48
20220512,-610481,1027934,47
20220513,381937,91334,48
20220516,578579,881086,47
20220517,1046211,881086,47
20220518,376586,881086,47
20220519,-354689,881086,47
20220520,382157,881086,47
20220523,528431,881086,47
20220524,-265153,881086,47
20220525,3110,881086,47
20220526,270008,881086,47
20220527,553210,881086,47
20220530,1290286,881086,47
20220531,1818282,881086,47
20220602,1584708,881086,47
20220603,1772408,881086,47
20220607,1132931,881086,47
20220608,1125935,881086,47
20220609,742786,673295,47
20220610,603163,673295,47
20220613,-2181748,673295,47
20220614,-3187742,4392974,42
20220615,-4241747,5192479,41
20220616,-3838875,2013465,44
20220617,-3605078,3580072,42
20220620,-4483252,7536454,37
20220621,-4098070,7277154,37
20220622,-6000161,8075762,36
20220623,-7593164,11945327,31
20220624,-5919959,75112,43
20220627,-4576476,75112,43
20220628,-3939388,75112,43
20220629,-3906858,75112,43
20220630,-4966750,75112,43
20220701,-5615918,75112,43
20220704,-6314199,75112,43
20220705,-5099203,75112,43
20220706,-6002916,75112,43
20220707,-5585071,75112,43
20220708,-5209492,75112,43
20220711,-5428684,75112,43
20220712,-6488163,75112,43
20220713,-6110573,75112,43
20220714,-5806970,858284,42
20220715,-6086155,858284,42
20220718,-5202522,858284,42
20220719,-4925418,858284,42
20220720,-4439401,858284,42
20220721,-4144464,858284,42
20220722,-4520626,858284,42
20220725,-3994636,858284,42
20220726,-4027085,1817456,41
20220727,-3924569,1817456,41
20220728,-3777891,1817456,41
20220729,-2981264,1817456,41
20220801,-2909054,1817456,41
20220802,-3212121,1817456,41
20220803,-2678915,1817456,41
20220804,-2328859,1817456,41
20220805,-1971703,1817456,41
20220808,-1868069,1817456,41
20220809,-1690635,8091049,36
20220810,-2132129,8091049,36
20220811,-1415887,8091049,36
20220812,-1336944,8091049,36
20220816,-1271959,8091049,36
20220817,-1741240,17032750,28
20220818,-1569393,16032960,29
20220819,-1649872,16032960,29
20220822,-2263948,16032960,29
20220823,-2420964,17068858,28
20220824,-1940981,16950741,28
20220825,-1527334,15953391,29
20220826,-1542023,15953391,29
20220829,-2010307,15953391,29
20220830,-1290003,16967880,28
20220831,-928118,15968024,29
20220901,-2164928,14993024,30
20220902,-2648528,14993024,30
20220905,-2897937,14143024,31
20220906,-2527629,17200628,29
20220907,-3189098,17980509,28
20220908,-2591648,17009309,29
20220913,-1560909,17009309,29
20220914,-2166587,18115091,28
20220915,-2089995,18115091,28
20220916,-2821859,17120841,29
20220919,-4037679,16914998,29
20220920,-3808083,14926398,31
20220921,-4019455,13944298,32
20220922,-4277412,13739143,32
20220923,-4980479,15195500,30
20220926,-6342386,15001433,30
20220927,-6184722,13596970,31
20220928,-7347183,15189648,29
20220929,-7478178,15189648,29
20220930,-7545633,14768470,29
20221004,-6125739,11828040,32
20221005,-6701573,11828040,32
20221006,-5844123,10849140,33
20221007,-5910435,9864940,34
20221011,-7681945,9649679,34
20221012,-7176551,7743921,36
20221013,-8467080,10132725,33
20221014,-7227750,279785,43
20221017,-7025698,279785,43
20221018,-5939587,279785,43
20221019,-6027212,279785,43
20221020,-6734243,279785,43
20221021,-7451087,279785,43
20221024,-6442267,279785,43
20221025,-6305605,279785,43
20221026,-6911977,279785,43
20221027,-5907790,279785,43
20221028,-6870768,279785,43
20221031,-6110556,279785,43
20221101,-5345283,279785,43
20221102,-4749085,279785,43
20221103,-4986268,279785,43
20221104,-5044559,279785,43
20221107,-4760031,279785,43
20221108,-3701695,279785,43
20221109,-3467139,279785,43
20221110,-3943941,279785,43
20221111,-2089740,279785,43
20221114,-2350273,279785,43
20221115,-1015761,279785,43
20221116,-922345,279785,43
20221117,-1240724,279785,43
20221118,-1966661,279785,43
20221121,-2532264,279785,43
20221122,-3126790,279785,43
20221123,-2332729,279785,43
20221124,-1404345,279785,43
20221125,-2047380,279785,43
20221128,-3219260,1076718,42
20221129,-2372579,668160,43
20221130,-1900915,668160,43
20221201,-1347049,668160,43
20221202,-1472117,668160,43
20221205,-1358680,668160,43
20221206,-2245129,668160,43
20221207,-2474281,668160,43
20221208,-2890486,668160,43
20221209,-1940060,668160,43
20221212,-2070216,668160,43
20221213,-1770423,668160,43
20221214,-800408,668160,43
20221215,-1424929,668160,43
20221216,-1832150,668160,43
20221219,-1951236,668160,43
20221220,-3019161,668160,43
20221221,-3007422,668160,43
20221222,-2336229,668160,43
20221223,-3719333,242434,43
20221226,-3699621,242434,43
20221227,-3168727,242434,43
20221228,-3526537,242434,43
20221229,-4479468,853659,42
20230102,-4923465,853659,42
20230103,-4618222,967982,42
20230104,-3751765,967982,42
20230105,-3782425,967982,42
20230106,-3404399,967982,42
20230109,-2065908,967982,42
20230110,-1757535,967982,42
20230111,-1413406,1016753,42
20230112,-1169359,16853,43
20230113,-746963,16853,43
20230116,-274174,16853,43
20230117,-325912,16853,43
20230118,-522609,16853,43
20230119,-386560,16853,43
20230120,-264026,16853,43
20230125,504067,2037345,43
20230126,792086,47111,45
20230127,1207226,47111,45
20230130,775556,47111,45
20230131,960708,47111,45
20230201,1200298,843864,44
20230202,2111293,843864,44
20230203,2319517,843864,44
20230206,1994885,843864,44
20230207,2434960,843864,44
20230208,2765539,843864,44
20230209,2747327,843864,44
20230210,2001397,843864,44
20230213,1560332,843864,44
20230214,2373866,843864,44
20230215,1244109,843864,44
20230216,2497529,843864,44
20230217,2051929,843864,44
20230220,2939668,843864,44
20230221,3088644,843864,44
20230222,2635692,843864,44
20230223,2961205,843864,44
20230224,2543358,843864,44
20230227,2253482,843864,44
20230228,2776403,843864,44
20230302,2590344,843864,44
20230303,2639255,843864,44
20230306,3013355,843864,44
20230307,2655899,843864,44
20230308,2026952,843864,44
20230309,1969417,843864,44
20230310,809610,843864,44
20230313,701085,637019,44
20230314,-1230201,1816385,43
20230315,-658584,826585,44
20230316,-487576,430929,44
20230317,491964,430929,44
20230320,724542,430929,44
20230321,672861,2662837,42
20230322,1174084,663529,44
20230323,877183,471835,44
20230324,1301208,471835,44
20230327,1134343,1510520,44
20230328,2055735,1510520,44
20230329,2831059,510675,45
20230330,3391622,510675,45
20230331,3391152,510675,45
20230403,3664036,510675,45
20230404,4215005,510675,45
20230405,4631200,510675,45
20230406,4244063,510675,45
20230407,4748710,510675,45
20230410,4068374,190584,46
20230411,4644065,190584,46
20230412,4991948,190584,46
20230413,5435382,190584,46
20230414,5698147,190584,46
20230417,6027674,190584,46
20230418,6238832,2969609,44
20230419,6870325,3787378,44
20230420,6190454,3787378,44
20230421,5419165,3787378,44
20230424,4933314,902388,47
20230425,4328810,4439022,45
20230426,3909947,2516220,47
20230427,3834987,522870,49
20230428,3958172,522870,49
20230502,4809527,522870,49
20230503,4557519,12500779,40
20230504,4479292,11300118,41
20230508,4430438,10300233,42
20230509,4067035,11090465,41
20230510,4069672,10092750,42
20230511,4095420,9097638,43
20230512,3885031,7211139,45
20230515,3740141,6304839,46
20230516,4404201,6304839,46
20230517,5153705,4332409,48
20230518,5368067,4332409,48
20230519,6121347,6390736,48
20230522,6339315,6390736,48
20230523,6593420,6390736,48
20230524,6637453,6390736,48
20230525,6262068,6390736,48
20230526,5929662,6220307,48
20230530,5934889,5223987,49
20230531,5791700,5223987,49
20230601,6453379,5223987,49
20230602,6990152,5223987,49
20230605,7401125,4235067,50
20230607,7546956,4235067,50
20230608,7568555,4235067,50
20230609,8074424,7236282,49
20230612,8116945,7236282,49
20230613,8420364,6409782,50
20230614,7774458,6046978,50
20230615,8022336,6046978,50
20230616,9418127,5302978,51
20230619,9743096,5302978,51
20230620,9767251,5302978,51
20230621,9701701,5302978,51
20230622,9647585,5302978,51
20230623,9156367,6090697,50
20230626,9403415,5901282,50
20230627,9713087,5901282,50
20230628,10409661,5901282,50
20230629,10206021,6698224,49
20230630,11194711,3706686,52
20230703,11591028,3706686,52
20230704,11694940,3706686,52
20230705,11780575,2708586,53
20230706,10779119,2708586,53
20230707,10607187,2708586,53
20230710,10477901,747986,55
20230711,11724843,747986,55
20230712,12309575,601801,55
20230713,12705274,601801,55
20230714,11984284,601801,55
20230717,11530457,601801,55
20230718,11509423,1589033,54
20230719,11771742,1589033,54
20230720,12415282,590833,55
20230721,12092889,590833,55
20230724,11065600,3777379,51
20230725,11522653,5449881,50
20230726,9508386,9065611,48
20230727,9693614,8832331,48
20230728,9844685,7834411,49
20230731,10494168,6835581,50
20230801,11035124,14690109,44
20230802,10821752,14690109,44
20230803,10927278,14690109,44
20230804,10933857,14690109,44
20230807,10371511,14690109,44
20230808,10163254,14690109,44
20230809,10977245,14690109,44
20230810,10987666,13694889,45
20230811,11063998,13694889,45
20230814,10634315,13694889,45
20230816,9862758,16434459,42
20230817,9500824,17026044,41
20230818,9491723,17058799,41
20230821,9911361,16077599,42
20230822,9874453,16838434,41
20230823,9657114,16838434,41
20230824,9812839,15842514,42
20230825,9582279,14000714,44
20230828,10124848,14000714,44
20230829,10554846,14000714,44
20230830,10721622,14000714,44
20230831,10978582,14000714,44
20230901,10189725,14000714,44
20230904,10252260,14000714,44
20230905,10258789,13003469,45
20230906,10308781,13003469,45
20230907,9881870,13003469,45
20230908,10837392,13003469,45
20230911,11191855,13801608,44
20230912,10151688,12804588,45
20230913,10026793,12804588,45
20230914,10604221,8822218,49
20230915,11232710,7827508,50
20230918,11017922,7827508,50
20230919,10600281,7827508,50
20230920,10345113,6846308,51
20230921,9439879,6846308,51
20230922,9278964,5846308,52
