date,code,settlement_month,par_value,capital_stock,listed_stock,credit_rate,year_highest,year_lowest,market_cap,ROE,EPS,foreign_rate,sub_price,PER,PBR,EV,BPS,gross_profit,operation_income,net_income,250highest,250lowest,upper_limit,lower_limit,standard_price,250highest_date,250lowest_date,250lowest_rate,trading_rate,outstanding_stock,outstanding_rate,회사명,종목코드,업종,주요제품,상장일
20230923,155660,12,500.0,80.0,16000.0,2.03,6480.0,4240.0,721.0,12.8,1502.0,0.74,3330.0,3.0,0.36,3.36,12480.0,3675.0,358.0,245.0,6700.0,4240.0,5850.0,3155.0,4505.0,20221122,20230726,6.25,125.08,5062.0,31.6,NaN,NaN,NaN,NaN,NaN
20230925,155660,12,500.0,80.0,16000.0,2.03,6480.0,4240.0,721.0,12.8,1502.0,0.74,3330.0,3.0,0.36,3.36,12480.0,3675.0,358.0,245.0,6700.0,4240.0,5850.0,3155.0,4505.0,20221122,20230726,6.25,125.08,5062.0,31.6,NaN,NaN,NaN,NaN,NaN
20230926,155660,12,500.0,80.0,16000.0,2.03,6480.0,4240.0,706.0,12.8,1502.0,0.73,3330.0,2.94,0.35,3.33,12480.0,3675.0,358.0,245.0,6700.0,4240.0,5850.0,3150.0,4500.0,20221122,20230726,4.01,87.6,5062.0,31.6,NaN,NaN,NaN,NaN,NaN
20230927,155660,12,500.0,80.0,16000.0,2.03,6480.0,4240.0,714.0,12.8,1502.0,0.73,3260.0,2.97,0.36,3.34,12480.0,3675.0,358.0,245.0,6700.0,4240.0,5730.0,3090.0,4410.0,20221122,20230726,5.31,37.67,5062.0,31.6,NaN,NaN,NaN,NaN,NaN
20230928,155660,12,500.0,80.0,16000.0,2.03,6480.0,4240.0,714.0,12.8,1502.0,0.72,3260.0,2.97,0.36,3.34,12480.0,3675.0,358.0,245.0,6700.0,4240.0,5730.0,3090.0,4410.0,20221122,20230726,5.31,37.67,5062.0,31.6,NaN,NaN,NaN,NaN,NaN
20230929,155660,12,500.0,80.0,16000.0,1.87,6480.0,4240.0,714.0,12.8,1502.0,0.72,3260.0,2.97,0.36,3.34,12480.0,3675.0,358.0,245.0,6700.0,4240.0,5730.0,3090.0,4410.0,20221122,20230726,5.31,37.67,5062.0,31.6,NaN,NaN,NaN,NaN,NaN
20231004,155660,12,500.0,80.0,16000.0,1.87,6480.0,4240.0,696.0,12.8,1502.0,0.72,3120.0,2.9,0.35,3.3,12480.0,3675.0,358.0,245.0,6700.0,4240.0,5800.0,3130.0,4465.0,20221122,20230726,2.59,159.68,5062.0,31.6,NaN,NaN,NaN,NaN,NaN
20231005,155660,12,500.0,80.0,16000.0,1.73,6480.0,4240.0,685.0,12.8,1502.0,0.68,3040.0,2.85,0.34,3.28,12480.0,3675.0,358.0,245.0,6700.0,4240.0,5650.0,3045.0,4350.0,20221122,20230726,0.94,61.73,5062.0,31.6,NaN,NaN,NaN,NaN,NaN
20231006,155660,12,500.0,80.0,16000.0,1.72,6480.0,4240.0,696.0,12.8,1502.0,0.66,2990.0,2.9,0.35,3.3,12480.0,3675.0,358.0,245.0,6700.0,4240.0,5560.0,3000.0,4280.0,20221122,20230726,2.59,95.16,5062.0,31.6,NaN,NaN,NaN,NaN,NaN
20231010,155660,12,500.0,80.0,16000.0,1.77,6480.0,4240.0,692.0,12.8,1502.0,0.65,3040.0,2.88,0.35,3.3,12480.0,3675.0,358.0,245.0,6700.0,4240.0,5650.0,3045.0,4350.0,20221122,20230726,2.0,110.56,5062.0,31.6,NaN,NaN,NaN,NaN,NaN
