date,sum_valuation_profit,d2_deposit,total_possess_count
20220104,-179096,990001000,1
20220105,-342669,970006955,3
20220106,-559223,970006955,3
20220107,315923,950010355,5
20220110,-527204,950010355,5
20220111,-1786786,950010355,5
20220112,-1114807,920096305,8
20220113,-2424727,910099405,9
20220114,-3518450,900101505,10
20220117,-4788957,900101505,10
20220118,-6726305,870110945,13
20220119,-8767449,830176995,17
20220120,-3291272,780212870,22
20220121,-8096406,780212870,22
20220124,-14799533,780212870,22
20220125,-23774654,786182707,21
20220126,-22475332,756201367,24
20220127,-32712681,734189021,26
20220128,-24350787,654257871,34
20220203,-16764579,644261391,35
20220204,-10044274,594334161,40
20220207,-9520050,584384661,41
20220208,-11187869,574390261,42
20220209,-3128330,564391411,43
20220210,-11098700,564391411,43
20220211,-18070144,564391411,43
20220214,-30351369,580198162,41
20220215,-36529880,570249762,42
20220216,-15746841,520294433,47
20220217,-16708598,500336513,49
20220218,-11083706,490338713,50
20220221,-11014680,490338713,50
20220222,-23539342,490338713,50
20220223,-13904334,490338713,50
20220224,-29234865,498326506,49
20220225,-14089081,488329051,50
20220228,-9897282,478333751,51
20220302,3423422,478333751,51
20220303,13148494,478333751,51
20220304,13765462,478333751,51
20220307,2798352,478333751,51
20220308,-7272023,505295232,48
20220310,2554270,505232421,48
20220311,10610959,505232421,48
20220314,-1961653,505232421,48
20220315,-7489502,502914249,48
20220316,2525507,502145129,48
20220317,15512014,512199044,48
20220318,21425484,512199044,48
20220321,21152288,502207244,49
20220322,27158471,586227355,41
20220323,35759696,586227355,41
20220324,38916286,576229855,42
20220325,40889300,576229855,42
20220328,38210505,576229855,42
20220329,39017531,655973705,35
20220330,38287543,744197271,27
20220331,39039594,744197271,27
20220401,37716502,724200081,29
20220404,38118632,714207021,30
20220405,38552111,715576037,30
20220406,36448366,771609894,25
20220407,36137181,771609894,25
20220408,36575205,771609894,25
20220411,33822211,761610564,26
20220412,30357379,753203821,27
20220413,35211391,743210401,28
20220414,36863689,743210401,28
20220415,34880566,743210401,28
20220418,36571078,751168306,27
20220419,43285763,819473813,21
20220420,43341564,826285392,21
20220421,43340389,826285392,21
20220422,42295903,826285392,21
20220425,36012733,806296882,23
20220426,37597565,796297162,24
20220427,31881438,815367973,22
20220428,31729128,805407873,23
20220429,33036513,775423873,26
20220502,32024587,775460786,26
20220503,36262651,765469786,27
20220504,35788026,765469786,27
20220506,29853262,755485786,28
20220509,22151834,753452541,28
20220510,20170913,768097429,26
20220511,20688459,748238429,28
20220512,13502240,746298281,28
20220513,21692418,736330181,29
20220516,20646300,726330941,30
20220517,21956556,758420867,27
20220518,21679278,758420867,27
20220519,18936036,758420867,27
20220520,22998489,748433267,28
20220523,23446247,759163653,27
20220524,18250097,776991877,25
20220525,20942651,776991877,25
20220526,22553324,776991877,25
20220527,21732420,774963363,25
20220530,25940553,774963363,25
20220531,24961722,774963363,25
20220602,23577717,783884334,24
20220603,23901075,783884334,24
20220607,21641178,793946176,23
20220608,21274632,793946176,23
20220609,20876115,793946176,23
20220610,19173911,801900040,22
20220613,9347798,801406190,22
20220614,2694006,841657547,17
20220615,-3414297,849654874,16
20220616,-2123426,819692214,19
20220617,-1875244,807658915,20
20220620,-8074715,823594270,18
20220621,-4943559,821563893,18
20220622,-11726014,829513108,17
20220623,-17943272,853326131,14
20220624,-10110564,613620242,38
20220627,1182551,603624542,39
20220628,3594545,603624542,39
20220629,2639167,613089889,38
20220630,-9128884,613089889,38
20220701,-15132165,613089889,38
20220704,-20131134,631204581,36
20220705,-7259498,621204821,37
20220706,-11564847,621204821,37
20220707,-5337818,621204821,37
20220708,-1121944,601234671,39
20220711,-3157610,601234671,39
20220712,-14922932,627881768,36
20220713,-11582382,627881768,36
20220714,-9163222,627881768,36
20220715,-12721683,617885768,37
20220718,-1700081,597920468,39
20220719,3488495,597920468,39
20220720,9910809,597920468,39
20220721,14261558,597920468,39
20220722,10584792,597920468,39
20220725,13540715,597920468,39
20220726,11866917,597920468,39
20220727,13979692,597920468,39
20220728,16661600,597920468,39
20220729,22358921,597920468,39
20220801,24659235,597920468,39
20220802,18861151,607131275,38
20220803,23609979,607131275,38
20220804,27989678,607131275,38
20220805,28896426,607131275,38
20220808,31930189,607131275,38
20220809,32893797,597138600,39
20220810,27840208,597138600,39
20220811,35606191,597138600,39
20220812,36533875,597138600,39
20220816,36169264,597138600,39
20220817,30555114,660516616,33
20220818,29723038,650518716,34
20220819,27002552,650518716,34
20220822,17645543,650518716,34
20220823,14239901,661552545,33
20220824,18206231,925641128,9
20220825,20626578,915649328,10
20220826,20884049,915649328,10
20220829,19601313,925146391,9
20220830,21516233,915168691,10
20220831,24043519,905169119,11
20220901,19778623,895191619,12
20220902,18807691,895191619,12
20220905,18808101,875206583,14
20220906,20919659,874468716,14
20220907,18988255,895073655,12
20220908,22818977,885118855,13
20220913,27919711,905112229,12
20220914,25904495,915471900,11
20220915,25479863,915471900,11
20220916,23527343,905478150,12
20220919,20294332,932959364,9
20220920,21590517,912997514,11
20220921,21222723,903005714,12
20220922,21192653,883017524,14
20220923,21668439,883017524,14
20220926,16589419,873057974,15
20220927,17614516,833066369,19
20220928,11297079,841044669,18
20220929,11025335,841044669,18
20220930,9884140,828932750,19
20221004,21075509,798974240,22
20221005,17461610,798974240,22
20221006,21698249,788984440,23
20221007,21932451,778987040,24
20221011,9531974,776955182,24
20221012,13925197,755319086,26
20221013,5193491,763286169,25
20221014,14531119,603599194,41
20221017,16604885,573620094,44
20221018,28802653,573620094,44
20221019,27189704,563634294,45
20221020,20784908,563634294,45
20221021,15053341,563634294,45
20221024,26071759,513649654,50
20221025,26378517,524321396,49
20221026,19253224,514338146,50
20221027,31622934,384451048,63
20221028,18223833,384451048,63
20221031,22401655,364459248,65
20221101,33649800,396592077,62
20221102,42361379,386603437,63
20221103,38136898,366614647,65
20221104,43029397,336624507,68
20221107,56207934,290326477,73
20221108,73643741,280462784,74
20221109,77311258,280462784,74
20221110,68013323,260472444,76
20221111,102954374,260472444,76
20221114,103910043,250515644,77
20221115,134968386,240527344,78
20221116,136516815,240527344,78
20221117,127630071,240527344,78
20221118,117951779,240527344,78
20221121,103978052,252545159,77
20221122,97415392,287706714,74
20221123,116573907,257717303,77
20221124,132854740,257717303,77
20221125,124330299,257717303,77
20221128,106421659,265686628,76
20221129,120725944,294785262,73
20221130,124183743,316718872,71
20221201,136081045,316718872,71
20221202,128668491,306734172,72
20221205,131453053,326733629,71
20221206,114273898,375952095,67
20221207,110606705,385940751,66
20221208,104348900,385940751,66
20221209,119293928,355952997,69
20221212,114392678,335982497,71
20221213,115267470,372519096,68
20221214,127295599,513091164,56
20221215,124825237,513091164,56
20221216,119392662,523169970,56
20221219,117797799,535579327,55
20221220,106882504,548072739,54
20221221,106768435,538074999,55
20221222,111789026,498113789,59
20221223,96878566,498113789,59
20221226,99401595,537623307,55
20221227,107393760,670192130,43
20221228,98111463,670192130,43
20221229,86734621,676160278,42
20230102,78398927,666187178,43
20230103,80495672,667022771,43
20230104,88572236,624178046,47
20230105,87791114,594181576,50
20230106,96808112,534219154,56
20230109,109325528,576898000,52
20230110,114250646,606689275,49
20230111,121941609,596691175,50
20230112,123061255,566713225,53
20230113,124335036,546735425,55
