date,sum_valuation_profit,d2_deposit,total_possess_count
20220104,931666,920028652,8
20220105,945516,870059022,13
20220106,-660734,850082822,15
20220107,4589704,783735688,22
20220110,2429060,763784488,24
20220111,-2348001,743875768,26
20220112,1749723,692939368,31
20220113,187592,613017778,39
20220114,-2267279,604571758,40
20220117,-8329876,573778589,43
20220118,-16605954,559795136,44
20220119,-20111687,524360725,47
20220120,-5378496,346354543,65
20220121,-16056540,346828744,65
20220124,-34193227,451837812,53
20220125,-49973446,557095364,41
20220126,-53327393,446134530,52
20220127,-66421942,524457643,43
20220128,-56797343,309930525,64
20220203,-46218325,238994647,71
20220204,-28478991,60845940,89
20220207,-27209284,62440513,89
20220208,-29713930,77608458,88
20220209,-11316130,30925588,93
20220210,-15254163,29975551,93
20220211,-31470598,62344916,90
20220214,-55109356,120297393,83
20220215,-66577811,150156809,80
20220216,-35337640,4111866,95
20220217,-36588314,8911241,95
20220218,-23317525,8636120,95
20220221,-23079428,41510197,92
20220222,-41658285,64110639,90
20220223,-25838369,7411566,96
20220224,-51701544,38378964,93
20220225,-29147042,30212324,94
20220228,-23045962,2391364,97
20220302,-10481053,166527256,81
20220303,4760163,140765030,84
20220304,-812011,132858497,85
20220307,-18784232,173820798,81
20220308,-28776133,300941198,68
20220310,-13918177,224305462,76
20220311,-3148832,175708892,81
20220314,-18152074,235260839,75
20220315,-24226080,232923187,75
20220316,-7806895,156158843,83
20220317,10895620,131129034,86
20220318,19118605,154403490,84
20220321,18155210,263028410,74
20220322,24919244,234376480,77
20220323,30954163,229333347,78
20220324,33500273,223548080,79
20220325,34466270,270819945,75
20220328,31515368,303019280,72
20220329,39326302,335983999,69
20220330,35521594,296000739,73
20220331,39426135,328052706,70
20220401,34599493,338476928,69
20220404,38406467,350169528,68
20220405,39177877,380746452,65
20220406,34528878,382402904,65
20220407,25041929,384159691,65
20220408,25062767,391978853,64
20220411,24400580,369919653,66
20220412,20247493,481940739,55
20220413,29703842,433604410,60
20220414,35333608,427089369,61
20220415,33649836,416457946,62
20220418,33685442,447017174,59
20220419,41749152,429473114,61
20220420,42237924,429980725,61
20220421,40758971,410163505,63
20220422,38162185,440602464,60
20220425,25291487,448480774,59
20220426,28841479,447287273,59
20220427,20292627,449611695,58
20220428,22753871,439471192,59
20220429,26529959,431156706,60
20220502,22931569,408297715,62
20220503,26189771,369551247,66
20220504,21671810,331073003,70
20220506,10121594,373359466,65
20220509,-9170615,406913403,61
20220510,-16340141,564589037,43
20220511,-16673521,564235620,43
20220512,-28428303,509383393,48
20220513,-19652352,507275416,48
20220516,-21168439,486709945,50
20220517,-17849111,495552341,49
20220518,-19037038,485556341,50
20220519,-22507310,484969967,50
20220520,-16535768,456100406,53
20220523,-14889656,487642466,50
20220524,-22603100,516840142,47
20220525,-18533210,515838047,47
20220526,-16091724,518166165,47
20220527,-13776847,528689311,46
20220530,-8762025,567532390,42
20220531,-8873147,558960892,43
20220602,-10653502,538983396,45
20220603,-8745450,580111147,41
20220607,-12192336,590630134,40
20220608,-10450715,612045608,38
20220609,-13387280,619989774,37
20220610,-15328648,639185974,35
20220613,-27450273,750394585,23
20220614,-31693889,832832784,14
20220615,-36868980,840793172,13
20220616,-37744640,790331155,18
20220617,-38029943,684090656,28
20220620,-50013089,707907862,25
20220621,-46191926,669534410,29
20220622,-59641479,731297406,22
20220623,-62042592,813462013,13
20220624,-50392655,26032120,92
20220627,-20847492,6010501,94
20220628,-13290983,42470,95
20220629,-15933412,23891267,93
20220630,-39477666,32865917,92
20220701,-50047674,23327778,93
20220704,-65200680,40999963,91
20220705,-33891827,1202943,95
20220706,-49106030,1499000,95
20220707,-33192767,9458153,94
20220708,-23340015,7285628,95
20220711,-26057498,11824637,95
20220712,-51411526,48217403,91
20220713,-33670356,13244546,95
20220714,-30106930,24459579,94
20220715,-34805889,34930942,93
20220718,-11031192,16484547,95
20220719,-1491586,124034164,85
20220720,8031858,171598951,81
20220721,17693407,185011927,80
20220722,16408056,198878660,79
20220725,18342747,178937960,81
20220726,17103025,609717379,40
20220727,18394565,608689454,40
20220728,20131573,608940853,40
20220729,25664661,578952203,43
20220801,28510584,625124742,39
20220802,25395776,615479057,40
20220803,27814017,575547684,44
20220804,31841810,588517861,43
20220805,35526305,613446933,41
20220808,38817422,655925178,37
20220809,40403682,687311939,34
20220810,40115600,688872172,34
20220811,42675368,660460064,37
20220812,45629740,688068546,35
20220816,45983013,729191157,31
20220817,45073580,740049303,30
20220818,44475351,784997036,26
20220819,43451483,764871320,28
20220822,38650846,761902895,28
20220823,35645390,611280137,43
20220824,41046600,591910319,45
20220825,49658346,532134119,51
20220826,50075783,567033471,48
20220829,38122185,596488851,45
20220830,45384768,476753391,57
20220831,50768429,408405215,64
20220901,35442930,416372209,63
20220902,31724586,415431839,63
20220905,26286581,421874883,62
20220906,31359505,412381535,63
20220907,18449051,435210005,60
20220908,20312401,440019899,59
20220913,38009236,361647008,67
20220914,28649024,364865797,67
20220915,29776717,356387621,68
20220916,21403166,357021265,68
20220919,9219444,354455509,68
20220920,16169660,332658916,70
20220921,11752699,278586450,75
20220922,5801067,300662581,72
20220923,-6658328,427414283,59
20220926,-29022164,656916109,33
20220927,-30613245,622262795,36
20220928,-40722891,624940195,35
20220929,-41782765,582523173,39
20220930,-40812210,482774528,49
20221004,-22532661,303402929,67
20221005,-31134811,314905465,66
20221006,-12569804,269474276,71
20221007,-13353777,290550575,69
20221011,-39993465,333447000,64
20221012,-33788879,223488199,75
20221013,-55989536,285428006,68
20221014,-30105485,7416333,96
20221017,-25428502,755670,97
20221018,1157367,7466644,97
20221019,-11537765,7466644,97
20221020,-23237220,6715195,97
20221021,-34545207,5188327,97
20221024,-17694334,5427344,97
20221025,-17150910,7910042,97
20221026,-23412954,20692041,96
20221027,-2248594,3748572,98
