date,sum_valuation_profit,d2_deposit
20230206,4067074,317168
20230207,4146104,419331
20230208,4631221,668277
20230209,4337219,549947
20230210,4035955,681975
20230213,4179780,849712
20230214,4468054,37140
20230215,3516410,933688
20230216,4195248,875740
20230217,4236094,1001667
20230220,4617908,930471
20230221,4813657,299592
20230222,4067870,299592
20230223,4406538,194441
20230224,4082292,399539
20230227,3986422,649715
20230228,4290947,3672172
20230302,4480419,412996
20230303,4687623,729791
20230306,4657069,862415
20230307,4986696,8926378
20230308,4769545,9950700
20230309,5427328,10314954
20230310,4580322,7454728
20230313,3646691,163504
20230314,1742952,12031162
20230315,2290830,881331
20230316,2074507,667032
20230317,2629841,494887
20230320,2935644,648176
20230321,2943428,651731
20230322,3385345,5082547
20230323,3092605,2327839
20230324,3632019,169343
20230327,3786939,321583
20230328,4427613,549549
20230329,5105085,709926
20230330,5470136,155821
20230331,5545004,156634
20230403,5871966,309120
20230404,6332174,826575
20230405,6829159,485318
20230406,6267989,292269
20230407,6484739,399744
20230410,5680657,358061
20230411,6911781,350362
20230412,7635306,495509
20230413,8020438,855981
20230414,8265471,855981
20230417,8583744,2366952
20230418,8372437,4466498
20230419,8906750,646671
20230420,7915004,710464
20230421,7382728,1318865
20230424,6847629,359967
20230425,6491684,11144897
20230426,6409568,2384404
20230427,6332928,1865541
20230428,6105138,816370
20230502,6586614,31451
20230503,6438793,577406
20230504,6468753,577406
20230508,6959675,842074
20230509,6704445,694687
20230510,6622869,639936
20230511,6494014,803660
20230512,5984969,527415
20230515,5581916,5012581
20230516,5676112,14657772
20230517,5901453,6757024
20230518,6172500,10531789
20230519,6650166,13191244
20230522,6877030,17201184
20230523,6851618,17262685
20230524,6731522,18149381
20230525,6278437,18033979
20230526,6173510,19157094
20230530,6527191,22235904
20230531,6594994,19447421
20230601,6725085,16283641
20230602,7092549,12308849
20230605,7575924,13543564
20230607,7402906,12515652
20230608,7390251,14880956
20230609,7575755,15314556
20230612,7763532,14153602
20230613,7758262,13229236
20230614,7104502,10368964
20230615,6955230,12317330
20230616,7449159,11876238
20230619,7720652,11066429
20230620,7766723,12316392
20230621,7487118,9288728
20230622,7325130,5373409
20230623,6588923,5222951
20230626,6619992,3911073
20230627,6503558,3788152
20230628,6481815,2403068
20230629,5715806,5008540
20230630,6428887,6197819
20230703,7084740,6285183
20230704,7184264,8485138
