Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-04,2991.969970703125,2995.25,2973.080078125,2989.239990234375,621200,0,0
2022-01-05,2984.050048828125,2986.199951171875,2936.72998046875,2953.969970703125,786900,0,0
2022-01-06,2925.39990234375,2952.5400390625,2915.3798828125,2920.530029296875,785500,0,0
2022-01-07,2933.780029296875,2959.030029296875,2933.10009765625,2954.889892578125,545800,0,0
2022-01-10,2947.3701171875,2951.1201171875,2910.89990234375,2926.719970703125,477000,0,0
2022-01-11,2930.929931640625,2943.570068359375,2909.820068359375,2927.3798828125,565800,0,0
2022-01-12,2950.780029296875,2972.580078125,2950.31005859375,2972.47998046875,519000,0,0
2022-01-13,2979.909912109375,2982.139892578125,2958.389892578125,2962.090087890625,604600,0,0
2022-01-14,2937.610107421875,2944.969970703125,2914.72998046875,2921.919921875,532300,0,0
2022-01-17,2918.550048828125,2919.669921875,2875.97998046875,2890.10009765625,592900,0,0
2022-01-18,2898.97998046875,2902.7900390625,2857.260009765625,2864.239990234375,553700,0,0
2022-01-19,2840.340087890625,2871.7900390625,2832.179931640625,2842.280029296875,463400,0,0
2022-01-20,2842.280029296875,2862.699951171875,2830.969970703125,2862.679931640625,395400,0,0
2022-01-21,2837.489990234375,2847.949951171875,2817.110107421875,2834.2900390625,532500,0,0
2022-01-24,2823.760009765625,2828.110107421875,2780.679931640625,2792.0,473600,0,0
2022-01-25,2786.409912109375,2789.6201171875,2703.989990234375,2720.389892578125,639400,0,0
2022-01-26,2729.75,2744.139892578125,2708.10009765625,2709.239990234375,471800,0,0
2022-01-27,2709.239990234375,2722.860107421875,2614.489990234375,2614.489990234375,487100,0,0
2022-01-28,2617.8701171875,2668.590087890625,2591.530029296875,2663.340087890625,433700,0,0
2022-02-03,2706.340087890625,2735.340087890625,2702.780029296875,2707.820068359375,435300,0,0
2022-02-04,2714.830078125,2751.800048828125,2712.8701171875,2750.260009765625,535900,0,0
2022-02-07,2750.699951171875,2750.699951171875,2718.93994140625,2745.06005859375,417600,0,0
2022-02-08,2767.760009765625,2779.85009765625,2726.719970703125,2746.469970703125,559600,0,0
2022-02-09,2772.6298828125,2773.3798828125,2753.510009765625,2768.85009765625,538700,0,0
2022-02-10,2787.43994140625,2788.27001953125,2761.760009765625,2771.929931640625,509300,0,0
2022-02-11,2739.139892578125,2766.699951171875,2735.080078125,2747.7099609375,480300,0,0
2022-02-14,2715.10009765625,2724.719970703125,2688.239990234375,2704.47998046875,616000,0,0
2022-02-15,2712.449951171875,2716.449951171875,2665.469970703125,2676.5400390625,588700,0,0
