date,sum_valuation_profit,d2_deposit,total_possess_count
20221128,-7262937,2251896,41
20221129,-5482541,1432075,42
20221130,-4437193,1432075,42
20221201,-3342026,1432075,42
20221202,-3478914,1432075,42
20221205,-3192812,1432075,42
20221206,-5003407,1432075,42
20221207,-5308773,1432075,42
20221208,-6000587,1432075,42
20221209,-4148395,1432075,42
20221212,-4446819,1432075,42
20221213,-4239645,1432075,42
20221214,-2216519,1432075,42
20221215,-3576674,1432075,42
20221216,-4391618,1432075,42
20221219,-4661922,1432075,42
20221220,-6876848,1432075,42
20221221,-6849056,1432075,42
20221222,-5407126,1432075,42
20221223,-7966437,619706,42
20221226,-7899511,619706,42
20221227,-6883575,619706,42
20221228,-7689581,619706,42
20221229,-9621678,1813912,41
20230102,-10534152,1813912,41
20230103,-9980246,1964206,41
20230104,-8232033,1964206,41
20230105,-8305302,1964206,41
20230106,-7575041,1964206,41
20230109,-4888011,1964206,41
20230110,-4225151,1964206,41
20230111,-3514249,1894998,41
20230112,-3195125,1894998,41
20230113,-2351041,1894998,41
20230116,-1214323,1894998,41
20230117,-1471160,1894998,41
20230118,-1698214,1894998,41
20230119,-1366867,1894998,41
20230120,-1132273,1894998,41
20230125,352407,5905533,41
20230126,890086,1916729,43
20230127,1696521,1916729,43
20230130,619298,1916729,43
20230131,926040,1916729,43
20230201,1662699,1534515,43
20230202,3494865,1534515,43
20230203,3948534,1534515,43
20230206,3402137,1534515,43
20230207,4289063,1534515,43
20230208,4831927,1534515,43
20230209,4911930,1534515,43
20230210,3328341,1534515,43
20230213,2481937,1534515,43
20230214,4069103,1534515,43
20230215,1864143,1534515,43
20230216,4411692,1534515,43
20230217,3485313,1534515,43
20230220,5096038,1534515,43
20230221,5429434,1534515,43
20230222,4526501,1534515,43
20230223,5339982,1534515,43
20230224,4426489,1534515,43
20230227,3833706,1534515,43
20230228,4859899,1534515,43
20230302,4130124,1534515,43
20230303,4051625,1534515,43
20230306,4799130,1534515,43
20230307,4050549,1534515,43
20230308,2918820,1534515,43
20230309,2650354,1534515,43
20230310,366693,3131730,42
20230313,142747,732049,43
20230314,-3492014,3090782,42
20230315,-2419485,1111182,43
20230316,-2097051,310891,43
20230317,-19936,310891,43
20230320,681148,310891,43
20230321,505994,4813900,41
20230322,1701073,815284,43
20230323,768315,421373,43
20230324,1584139,421373,43
20230327,964191,3007904,43
20230328,2717919,3007904,43
20230329,4164534,1008214,44
20230330,5533398,1008214,44
20230331,5400041,1008214,44
20230403,5877438,1008214,44
20230404,7197012,1008214,44
20230405,8158193,1008214,44
20230406,7447248,1008214,44
20230407,8472867,1008214,44
20230410,7145317,354623,45
20230411,8248413,354623,45
20230412,8752627,354623,45
20230413,9769652,354623,45
20230414,10039940,354623,45
20230417,10615548,354623,45
20230418,11000406,5919415,43
20230419,12129793,7542245,43
20230420,10744436,7542245,43
20230421,9143888,7542245,43
20230424,8065816,1615505,46
20230425,6741193,10730400,43
20230426,6247635,6912867,45
20230427,5959653,2918217,47
20230428,6532320,918217,48
20230502,8146788,918217,48
20230503,7731284,25733648,39
20230504,7514810,23335133,40
20230508,7629154,21335363,41
20230509,7216648,22931023,40
20230510,7054901,20932988,41
20230511,7001835,18935447,42
20230512,6709269,15155579,44
20230515,6418516,13242279,45
20230516,7755375,13242279,45
20230517,9371209,9264249,47
20230518,9521352,9264249,47
20230519,11097518,13371706,47
20230522,11354900,13371706,47
20230523,11865301,13371706,47
20230524,11837791,13371706,47
20230525,11105902,13371706,47
20230526,10407370,12973902,47
20230530,10306470,10981262,48
20230531,9931227,10981262,48
20230601,10902603,10981262,48
20230602,11902439,10981262,48
20230605,12691956,8991362,49
20230607,12991116,8991362,49
20230608,12982557,8991362,49
20230609,14027162,14998286,48
20230612,14209334,14998286,48
20230613,14795039,13069786,49
20230614,13618707,12354669,49
20230615,13967990,12354669,49
20230616,16598371,10866669,50
20230619,17239243,10866669,50
20230620,17361001,10866669,50
20230621,17257306,10866669,50
20230622,17318178,10866669,50
20230623,16378621,12455688,49
20230626,16811545,12101188,49
20230627,17511265,12101188,49
20230628,18218252,12101188,49
20230629,17862293,13695072,48
20230630,19618192,7707052,51
20230703,20023786,7707052,51
20230704,20318538,7707052,51
20230705,20490351,5710852,52
20230706,18860978,5710852,52
20230707,18495581,5710852,52
20230710,18134707,1789652,54
20230711,20301150,1789652,54
20230712,21357803,1495156,54
20230713,22438602,1495156,54
20230714,20804282,1495156,54
20230717,20052558,1495156,54
20230718,19974585,3514495,53
20230719,20576965,3514495,53
20230720,21965147,1515795,54
20230721,21117600,1515795,54
20230724,19028459,7890967,50
20230725,19787441,11241764,49
20230726,16420529,18473223,47
20230727,16563160,18006662,47
20230728,16330942,16007582,48
20230731,17550151,14009922,49
20230801,18293643,19891454,46
20230802,17765974,19891454,46
20230803,17997818,19891454,46
20230804,18018649,19891454,46
20230807,16946967,19891454,46
20230808,16535984,19891454,46
20230809,18295619,19891454,46
20230810,18325207,17895884,47
20230811,18481000,17895884,47
20230814,17560414,17895884,47
20230816,15970700,23384637,44
20230817,15234948,24570600,43
20230818,15230312,24384111,43
20230821,16070838,22399411,44
20230822,16138507,26552790,42
20230823,15713663,26552790,42
20230824,16115816,24560950,43
20230825,15716120,20698050,45
20230828,16994305,20698050,45
20230829,17679272,20698050,45
20230830,18069275,20698050,45
20230831,18396015,20698050,45
20230901,16858591,20698050,45
20230904,17058489,20698050,45
20230905,17097658,18699555,46
20230906,17109522,18699555,46
20230907,16271887,18699555,46
20230908,18056026,18699555,46
20230911,18783100,20297531,45
20230912,16902224,18297761,46
20230913,16663744,18297761,46
20230914,17848394,10304781,50
