date,sum_valuation_profit,d2_deposit
20220104,181944,84114508
20220105,183664,74154818
20220106,-134394,70187768
20220107,908402,56981406
20220110,482302,53025506
20220111,-464085,49085286
20220112,350147,38949600
20220113,44131,22999720
20220114,-444559,21318404
20220117,-1653307,15237950
20220118,-3299236,12475045
20220119,-3993169,5435629
20220120,-1367132,1767902
20220121,-2971141,1857076
20220124,-5867458,20740294
20220125,-8076414,36381528
20220126,-8953108,10315676
20220127,-11129695,16982695
20220128,-9107272,251711
20220203,-7387914,1967665
20220204,-5770346,1925743
20220207,-5521609,328464
20220208,-6466054,328464
20220209,-4606710,670072
20220210,-5161737,818824
20220211,-6544367,689495
20220214,-8925236,1848708
20220215,-10040263,623583
20220216,-6996424,623583
20220217,-7569501,398832
20220218,-6447694,353568
20220221,-6532864,820964
20220222,-8233471,1155432
20220223,-6973992,1155432
20220224,-9592508,759861
20220225,-7440932,759861
20220228,-6645130,1513198
20220302,-5133654,4426705
20220303,-3120512,1420728
20220304,-3757550,66661
20220307,-6092533,1857902
20220308,-7041949,336286
20220310,-4876913,336286
20220311,-3598177,678293
20220314,-5492506,8189447
20220315,-6133133,4064421
20220316,-4366541,88121
20220317,-1950962,1173935
20220318,-1316541,3417935
20220321,-1621392,98112
20220322,-636282,208237
20220323,113535,830287
20220324,342994,787556
20220325,629850,1293220
20220328,356933,1381935
20220329,1062486,1567982
20220330,631828,1567982
20220331,1404206,2196574
20220401,919243,508925
20220404,1657694,5219349
20220405,1543873,5181558
20220406,1125509,3668845
20220407,-429727,1459338
20220408,-817622,1167623
20220411,-1138054,945930
20220412,-1861455,974689
20220413,-153578,1286280
20220414,547877,1691682
20220415,100056,1789251
20220418,-52770,3764604
20220419,1700522,132072
20220420,1957912,445862
20220421,1440080,396505
20220422,1242390,1994290
20220425,-1114737,1566365
20220426,-832896,1332484
20220427,-2262348,231818
20220428,-1856123,170730
20220429,-1383307,117115
20220502,-1827957,1649032
20220503,-1818877,1736201
20220504,-2276014,1815623
20220506,-3458930,5110888
20220509,-6198763,11849549
20220510,-7262797,34483832
20220511,-7108246,34395322
20220512,-8785117,22068287
20220513,-7713267,21539176
20220516,-7824301,11549736
20220517,-6973193,11856952
20220518,-7323390,9857752
20220519,-7937789,5654466
20220520,-6844654,17855
20220523,-6595631,6261383
20220524,-7977691,12093975
20220525,-7436152,11894497
20220526,-6867333,10512040
20220527,-6387188,10429611
20220530,-5428305,14426092
20220531,-5506624,14581436
20220602,-5938472,10605666
20220603,-5465389,13000859
20220607,-6184613,13000859
20220608,-5830350,17297444
20220609,-6426275,18869799
20220610,-6800710,22651486
20220613,-9326099,46559751
20220614,-10167526,62874376
20220615,-11199670,64449231
20220616,-11374146,54399257
20220617,-11430368,33250804
20220620,-13819646,38003417
20220621,-13058043,30424687
20220622,-15733612,42728271
20220623,-16209768,59070711
20220624,-14199355,1663985
20220627,-11925241,1656692
20220628,-11727433,1656692
20220629,-11702272,405827
20220630,-14181030,2200757
20220701,-15539015,49770
20220704,-16729561,1643271
20220705,-13722801,1643271
20220706,-14607468,1898173
20220707,-13076312,1898173
20220708,-11985271,844923
20220711,-12289621,1127628
20220712,-14553931,2720097
20220713,-12858932,742297
20220714,-12765658,870829
20220715,-13228367,1179028
20220718,-11343698,1296521
20220719,-10663583,13705869
20220720,-9823484,10337824
20220721,-8821464,11023511
20220722,-8713646,11542666
20220725,-8514529,9862121
20220726,-8890930,33301086
20220727,-8889209,31133881
20220728,-8485856,29136241
20220729,-7811128,23153611
20220801,-7139963,27689236
20220802,-7622616,27672861
20220803,-7106443,19731704
20220804,-6329820,20307323
20220805,-5758693,23192194
20220808,-4938110,31434874
20220809,-4681836,34005599
20220810,-4628678,34309130
20220811,-4326016,26380210
20220812,-3972625,22845041
20220816,-4066089,22845041
20220817,-4358095,25004504
20220818,-4618385,33750199
20220819,-4929350,29746177
20220822,-6084625,35203846
20220823,-6677096,7190975
20220824,-5544311,3346985
20220825,-3831912,1409309
20220826,-3754209,8247477
20220829,-5955763,16186342
20220830,-4856741,305506
20220831,-4211540,305506
20220901,-6058685,1905259
20220902,-6569366,2004766
20220905,-7202748,1588958
20220906,-6425111,1663841
20220907,-8384694,2571648
20220908,-7995571,1942122
20220913,-5186218,319618
20220914,-6668420,916699
20220915,-6247256,3195097
20220916,-7764324,997973
20220919,-9584606,2720473
20220920,-8551304,518693
20220921,-9234905,1956163
20220922,-9826662,899339
20220923,-11002354,22794619
20220926,-13640961,50524480
20220927,-13827749,34563942
20220928,-15450223,31519225
20220929,-15558843,23121539
20220930,-15355438,1322043
20221004,-12411745,1048563
20221005,-13573407,1302717
20221006,-11257944,211813
20221007,-11356332,486067
20221011,-14756027,7194036
20221012,-14096385,1363084
20221013,-16686276,4526673
20221014,-14098800,536523
20221017,-13492008,1224013
20221018,-11864314,1224013
20221019,-12695910,1224013
20221020,-13854440,1107343
20221021,-14980639,707527
20221024,-13316090,1038954
20221025,-13672622,897909
20221026,-13784099,1273653
20221027,-11580700,1595312
20221028,-12492126,1549571
20221031,-11937764,1559613
20221101,-10714633,252168
20221102,-10462029,1324849
20221103,-10901270,1657339
20221104,-10326407,1787902
20221107,-9062733,1787902
20221108,-6893029,580083
20221109,-6782858,580083
20221110,-7411835,580083
20221111,-4475447,1339487
20221114,-3929309,944642
20221115,-1825296,4989521
20221116,-2097917,1309416
20221117,-3071154,1309416
20221118,-3576434,780660
20221121,-4935267,2576907
20221122,-5245575,789874
20221123,-3531330,1264426
20221124,-2297797,1785247
20221125,-2176415,25328
20221128,-4040843,6135354
20221129,-2383004,621040
20221130,-2006243,955485
20221201,-550620,1167017
20221202,-1226467,3804298
20221205,-1071799,206357
20221206,-3068939,460840
20221207,-2722482,1461258
20221208,-3698737,4520104
20221209,-2486171,579130
20221212,-2820337,357882
20221213,-2949287,90528
20221214,-1812746,363084
20221215,-2164172,375643
20221216,-2205489,956988
20221219,-1989644,1104136
20221220,-3715928,890397
20221221,-3288511,1296424
20221222,-2267867,1296424
20221223,-4359464,7115239
20221226,-4576183,336693
20221227,-3756488,80848
20221228,-4947465,1266730
20221229,-6609754,5171876
20230102,-8135073,14907406
20230103,-8223702,1781214
20230104,-6457754,1781214
20230105,-6744693,1531225
20230106,-5692007,121202
20230109,-3806647,372556
20230110,-3223789,907585
20230111,-2112720,907585
20230112,-1856059,1571628
20230113,-1571858,1831614
20230116,-1096688,916140
20230117,-1496449,1361152
20230118,-1863719,1157967
20230119,-1854586,1127163
20230120,-1527217,1127163
20230125,-486486,1157861
20230126,1104412,1074664
20230127,1520402,1104098
20230130,619447,1026615
20230131,1236220,1204291
20230201,1670151,1601505
20230202,2674736,853016
20230203,3172712,963839
20230206,3321347,1570271
20230207,3641906,1622505
20230208,4718163,209811
20230209,4185770,1994866
20230210,3637418,573915
20230213,3865424,697273
20230214,4463019,850332
20230215,2873902,649786
20230216,4221981,722213
20230217,3982168,1064666
20230220,4565801,916097
20230221,5154376,1616725
20230222,3698605,1616725
20230223,4056493,1409282
20230224,3444955,3390300
20230227,3232805,3406636
20230228,3934921,1485945
20230302,4451917,1148824
20230303,4826937,1690732
20230306,4720126,1776704
20230307,5287636,16262428
20230308,4774810,14687099
20230309,6171546,13260349
20230310,4357221,9349426
20230313,2639264,731248
20230314,-778593,28407157
20230315,299173,6035817
20230316,-164130,1854089
20230317,1101554,1619454
20230320,1494484,1718375
20230321,1568279,1806513
20230322,2497769,10659483
20230323,1802663,4903867
20230324,3015122,3057979
20230327,3137605,1192075
20230328,4462416,1731367
20230329,5395389,1731367
20230330,6181946,555285
20230331,6384598,556910
20230403,6966987,859036
20230404,7830435,1566738
20230405,8595617,872985
20230406,7681164,1060605
20230407,8093699,1177183
20230410,6699330,1297627
20230411,9252712,1317848
20230412,10673347,1618560
20230413,11432207,446328
20230414,11868109,446328
20230417,12466970,3508123
20230418,11906340,5832488
20230419,13000011,188464
20230420,11368116,4580066
20230421,10188605,1970949
20230424,9154318,1973134
20230425,8573999,21738418
20230426,8344268,206946
20230427,8194865,1120031
20230428,7805281,1094495
20230502,9059858,1553627
20230503,8835449,791377
20230504,8736423,791377
20230508,9674574,972620
20230509,9185486,624094
20230510,8845946,428216
20230511,8582618,739494
20230512,7622349,368528
20230515,6842288,9331530
20230516,6700631,26322299
20230517,7147544,10304743
20230518,7540011,17853627
20230519,8428200,20838806
20230522,8907671,26938770
20230523,8891098,27070153
20230524,8629698,28863249
20230525,7747644,28460681
20230526,7511725,30722178
20230530,8245342,40906990
20230531,8333333,33263243
20230601,8592509,25081795
20230602,9393080,19096430
20230605,10203752,19407785
20230607,9809210,17320882
20230608,9794763,22219121
20230609,10178047,20819722
20230612,10608919,20606308
20230613,10646423,20778900
20230614,9309941,15031817
20230615,9040530,20737021
20230616,10049339,19898316
20230619,10587331,18158198
20230620,10669442,20579912
20230621,10146544,14475172
20230622,9836412,6622419
20230623,8372964,4519047
20230626,8408288,1886230
20230627,8160493,1862724
20230628,8118118,1017522
20230629,6577352,6310634
20230630,7997804,8694716
20230703,9290365,8864839
20230704,9475295,13231872
20230705,9841335,19917127
20230706,8240302,21735645
20230707,7514751,23530918
20230710,7871515,17214996
20230711,8965770,17128665
20230712,9746364,1232445
20230713,10386317,1318431
20230714,11245473,5904038
20230717,11121895,9826158
20230718,10524024,11760588
20230719,10505510,3921716
20230720,11516536,4126888
20230721,11305296,4691191
20230724,10100617,4268839
20230725,11048368,27174008
20230726,8211064,43588747
20230727,9388647,7561219
20230728,9973982,1390420
20230731,12215819,80576
20230801,13331733,3625613
20230802,12729015,4273754
20230803,12218956,9731482
20230804,12583815,9928471
20230807,12347341,6059624
20230808,11304796,7975505
20230809,12026704,10610064
20230810,12795399,19120144
20230811,13303465,5032107
20230814,12336219,4867034
20230816,10098286,15988094
20230817,9699737,15568548
20230818,9565473,13752068
20230821,9931412,5907205
20230822,9559211,5946206
20230823,9775940,88120
20230824,10376395,1882492
20230825,10456543,2428428
20230828,13072291,1522033
20230829,14048236,10099862
20230830,14818568,8115462
